,complex,putative_genes,coeffs,monomer_id,gene,obj_ids
623,Grx4-BolA complex,"grxD"" // ""bolA",1,EG10125-MONOMER,bolA,EG10125-MONOMER
624,Grx4-IbaG complex,"grxD"" // ""ibaG",1,EG12181-MONOMER,grxD,EG12181-MONOMER
625,Grx4-IbaG complex,"grxD"" // ""ibaG",1,G7657-MONOMER,ibaG,G7657-MONOMER
626,GTP cyclohydrolase 1,folE,1,GTP-CYCLOHYDRO-I-MONOMER,folE,GTP-CYCLOHYDRO-I-MONOMER
627,GTP cyclohydrolase 2,ribA,2,GTP-CYCLOHYDRO-II-MONOMER,ribA,GTP-CYCLOHYDRO-II-MONOMER
628,"guanosine-5'-triphosphate,3'-diphosphate phosphatase",gpp,2,PPPGPPHYDRO-MONOMER,gpp,PPPGPPHYDRO-MONOMER
629,guanylate kinase,gmk,2,GUANYL-KIN-MONOMER,gmk,GUANYL-KIN-MONOMER
630,"heat shock protein, hemimethylated DNA-binding protein",hspQ,2,G6500-MONOMER,hspQ,G6500-MONOMER
631,heme trafficking system CcmABCDE,"ccmC"" // ""ccmE"" // ""ccmA"" // ""ccmB"" // ""ccmD",1,CCMC-MONOMER,ccmC,CCMC-MONOMER
632,heme trafficking system CcmABCDE,"ccmC"" // ""ccmE"" // ""ccmA"" // ""ccmB"" // ""ccmD",1,CCME-MONOMER,ccmE,CCME-MONOMER
633,heme trafficking system CcmABCDE,"ccmC"" // ""ccmE"" // ""ccmA"" // ""ccmB"" // ""ccmD",2,CCMA-MONOMER,ccmA,CCMA-MONOMER
634,heme trafficking system CcmABCDE,"ccmC"" // ""ccmE"" // ""ccmA"" // ""ccmB"" // ""ccmD",1,CCMB-MONOMER,ccmB,CCMB-MONOMER
635,heme trafficking system CcmABCDE,"ccmC"" // ""ccmE"" // ""ccmA"" // ""ccmB"" // ""ccmD",1,EG12169-MONOMER,ccmD,EG12169-MONOMER
636,heme-containing peroxidase/deferrochelatase,efeB,2,EG11735-MONOMER,efeB,EG11735-MONOMER
637,HflK-HflC complex; regulator of FtsH protease,"hflC"" // ""hflK",1,EG10435-MONOMER,hflC,EG10435-MONOMER
638,HflK-HflC complex; regulator of FtsH protease,"hflC"" // ""hflK",1,EG10436-MONOMER,hflK,EG10436-MONOMER
639,HigA antoxin of the HigB-HigA toxin-antitoxin system and DNA-binding transcriptional repressor,higA,2,G7601-MONOMER,higA,G7601-MONOMER
640,HigB translation-dependent mRNA interferase and toxin of the HigB-HigA toxin-antitoxin system,higB,2,G7602-MONOMER,higB,G7602-MONOMER
641,HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,"hipA"" // ""hipB",1,EG10443-MONOMER,hipA,EG10443-MONOMER
642,HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,"hipA"" // ""hipB",1,CPLX0-7757,,CPLX0-7757
643,HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor,"hipA"" // ""hipB",2,EG10442-MONOMER,hipB,EG10442-MONOMER
644,HipB antitoxin / DNA-binding transcriptional repressor,hipB,2,EG10442-MONOMER,hipB,EG10442-MONOMER
645,histidinal/histidinol dehydrogenase,hisD,2,HISTDEHYD-MONOMER,hisD,HISTDEHYD-MONOMER
646,histidine ABC transporter,"hisJ"" // ""hisQ"" // ""hisM"" // ""hisP",1,HISJ-MONOMER,hisJ,HISJ-MONOMER
647,histidine ABC transporter,"hisJ"" // ""hisQ"" // ""hisM"" // ""hisP",1,HISQ-MONOMER,hisQ,HISQ-MONOMER
648,histidine ABC transporter,"hisJ"" // ""hisQ"" // ""hisM"" // ""hisP",1,HISM-MONOMER,hisM,HISM-MONOMER
649,histidine ABC transporter,"hisJ"" // ""hisQ"" // ""hisM"" // ""hisP",2,HISP-MONOMER,hisP,HISP-MONOMER
650,histidine&mdash;tRNA ligase,hisS,2,HISS-MONOMER,hisS,HISS-MONOMER
651,histidinol-phosphate aminotransferase,hisC,2,HISTPHOSTRANS-MONOMER,hisC,HISTPHOSTRANS-MONOMER
652,holo-[acyl-carrier-protein] synthase,acpS,2,HOLO-ACP-SYNTH-MONOMER,acpS,HOLO-ACP-SYNTH-MONOMER
653,holocytochrome <I>c</I> synthetase,"ccmH"" // ""ccmG"" // ""ccmF"" // ""ccmE",1,EG12052-MONOMER,ccmH,EG12052-MONOMER
654,holocytochrome <I>c</I> synthetase,"ccmH"" // ""ccmG"" // ""ccmF"" // ""ccmE",1,EG12053-MONOMER,ccmG,EG12053-MONOMER
655,holocytochrome <I>c</I> synthetase,"ccmH"" // ""ccmG"" // ""ccmF"" // ""ccmE",1,EG12054-MONOMER,ccmF,EG12054-MONOMER
656,holocytochrome <I>c</I> synthetase,"ccmH"" // ""ccmG"" // ""ccmF"" // ""ccmE",1,CCME-MONOMER,ccmE,CCME-MONOMER
657,homoserine kinase,thrB,2,HOMOSERKIN-MONOMER,thrB,HOMOSERKIN-MONOMER
658,homoserine <i>O</i>-succinyltransferase,metA,2,HOMSUCTRAN-MONOMER,metA,HOMSUCTRAN-MONOMER
659,HslU hexamer,hslU,6,EG11881-MONOMER,hslU,EG11881-MONOMER
660,HslV hexamer,hslV,6,EG11676-MONOMER,hslV,EG11676-MONOMER
661,hydrogenase 1,"hyaC"" // ""hyaB"" // ""hyaA",1,HYAC-MONOMER,hyaC,HYAC-MONOMER
662,hydrogenase 1,"hyaC"" // ""hyaB"" // ""hyaA",2,HYAB-MONOMER,hyaB,HYAB-MONOMER
663,hydrogenase 1,"hyaC"" // ""hyaB"" // ""hyaA",2,HYAA-MONOMER,hyaA,HYAA-MONOMER
664,hydrogenase 2,"hybC"" // ""hybO"" // ""hybB"" // ""hybA",1,HYBC-MONOMER,hybC,HYBC-MONOMER
665,hydrogenase 2,"hybC"" // ""hybO"" // ""hybB"" // ""hybA",1,MONOMER0-145,hybO,MONOMER0-145
666,hydrogenase 2,"hybC"" // ""hybO"" // ""hybB"" // ""hybA",1,EG11800-MONOMER,hybB,EG11800-MONOMER
667,hydrogenase 2,"hybC"" // ""hybO"" // ""hybB"" // ""hybA",1,HYBA-MONOMER,hybA,HYBA-MONOMER
668,hydrogenase 3,"hycE"" // ""hycB"" // ""hycG"" // ""hycF"" // ""hycC"" // ""hycD",1,HYCELARGE-MONOMER,hycE,HYCELARGE-MONOMER
669,hydrogenase 3,"hycE"" // ""hycB"" // ""hycG"" // ""hycF"" // ""hycC"" // ""hycD",1,HYCBSMALL-MONOMER,hycB,HYCBSMALL-MONOMER
670,hydrogenase 3,"hycE"" // ""hycB"" // ""hycG"" // ""hycF"" // ""hycC"" // ""hycD",1,HYCG-MONOMER,hycG,HYCG-MONOMER
671,hydrogenase 3,"hycE"" // ""hycB"" // ""hycG"" // ""hycF"" // ""hycC"" // ""hycD",1,HYCF-MONOMER,hycF,HYCF-MONOMER
672,hydrogenase 3,"hycE"" // ""hycB"" // ""hycG"" // ""hycF"" // ""hycC"" // ""hycD",1,HYCC-MONOMER,hycC,HYCC-MONOMER
673,hydrogenase 3,"hycE"" // ""hycB"" // ""hycG"" // ""hycF"" // ""hycC"" // ""hycD",1,HYCD-MONOMER,hycD,HYCD-MONOMER
674,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-144,hyfH,MONOMER0-144
675,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-143,hyfF,MONOMER0-143
676,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-142,hyfE,MONOMER0-142
677,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-141,hyfD,MONOMER0-141
678,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-154,hyfC,MONOMER0-154
679,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-153,hyfB,MONOMER0-153
680,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-152,hyfA,MONOMER0-152
681,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-151,hyfI,MONOMER0-151
682,hydrogenase 4,"hyfH"" // ""hyfF"" // ""hyfE"" // ""hyfD"" // ""hyfC"" // ""hyfB"" // ""hyfA"" // ""hyfI"" // ""hyfG",1,MONOMER0-150,hyfG,MONOMER0-150
683,hydrogenase isozymes nickel incorporation protein HypB,hypB,2,EG10484-MONOMER,hypB,EG10484-MONOMER
684,hydroperoxidase I,katG,4,HYDROPEROXIDI-MONOMER,katG,HYDROPEROXIDI-MONOMER
685,hydroxyethylthiazole kinase,thiM,2,THZ-KIN-MONOMER,thiM,THZ-KIN-MONOMER
686,hydroxyisourate hydrolase / transthyretin-related protein,yedX,4,G7058-MONOMER,yedX,G7058-MONOMER
687,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,thiD,4,HMP-P-KIN-MONOMER,thiD,HMP-P-KIN-MONOMER
688,hydroxypyruvate isomerase,hyi,2,G6277-MONOMER,hyi,G6277-MONOMER
689,HypA-HypB heterodimer,"hypB"" // ""hypA",1,EG10484-MONOMER,hypB,EG10484-MONOMER
690,HypA-HypB heterodimer,"hypB"" // ""hypA",1,EG10483-MONOMER,hypA,EG10483-MONOMER
691,HypCD complex involved in hydrogenase maturation,"hypC"" // ""hypD",1,EG10485-MONOMER,hypC,EG10485-MONOMER
692,HypCD complex involved in hydrogenase maturation,"hypC"" // ""hypD",1,EG10486-MONOMER,hypD,EG10486-MONOMER
693,hypoxanthine phosphoribosyltransferase,hpt,4,HYPOXANPRIBOSYLTRAN-MONOMER,hpt,HYPOXANPRIBOSYLTRAN-MONOMER
694,HypT-[Met-oxidized] DNA-binding transcriptional dual regulator,hypT,2,G7924-MONOMER,hypT,G7924-MONOMER
695,HypT-[Met]reduced,hypT,2,G7924-MONOMER,hypT,G7924-MONOMER
696,"imidazole glycerol phosphate synthase subunit HisH"" // ""imidazole glycerol phosphate synthase subunit HisF","hisF"" // ""hisH",1,CYCLASE-MONOMER,hisF,CYCLASE-MONOMER
697,"imidazole glycerol phosphate synthase subunit HisH"" // ""imidazole glycerol phosphate synthase subunit HisF","hisF"" // ""hisH",1,GLUTAMIDOTRANS-MONOMER,hisH,GLUTAMIDOTRANS-MONOMER
698,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,hisB,2,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER,hisB,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER
699,IMP dehydrogenase,guaB,4,IMP-DEHYDROG-MONOMER,guaB,IMP-DEHYDROG-MONOMER
700,inorganic pyrophosphatase,ppa,6,INORGPYROPHOSPHAT-MONOMER,ppa,INORGPYROPHOSPHAT-MONOMER
701,inosine/guanosine kinase,gsk,2,GSK-MONOMER,gsk,GSK-MONOMER
702,intermembrane phospholipid transport system,"mlaF"" // ""mlaE"" // ""mlaD"" // ""mlaB",2,YRBF-MONOMER,mlaF,YRBF-MONOMER
703,intermembrane phospholipid transport system,"mlaF"" // ""mlaE"" // ""mlaD"" // ""mlaB",2,YRBE-MONOMER,mlaE,YRBE-MONOMER
704,intermembrane phospholipid transport system,"mlaF"" // ""mlaE"" // ""mlaD"" // ""mlaB",6,EG12799-MONOMER,mlaD,EG12799-MONOMER
705,intermembrane phospholipid transport system,"mlaF"" // ""mlaE"" // ""mlaD"" // ""mlaB",2,G7658-MONOMER,mlaB,G7658-MONOMER
706,intermembrane transport protein PqiB,pqiB,6,G6491-MONOMER,pqiB,G6491-MONOMER
707,iron(III) hydroxamate ABC transporter,"fhuD"" // ""fhuB"" // ""fhuC",1,FHUD-MONOMER,fhuD,FHUD-MONOMER
708,iron(III) hydroxamate ABC transporter,"fhuD"" // ""fhuB"" // ""fhuC",1,FHUB-MONOMER,fhuB,FHUB-MONOMER
709,iron(III) hydroxamate ABC transporter,"fhuD"" // ""fhuB"" // ""fhuC",2,FHUC-MONOMER,fhuC,FHUC-MONOMER
710,iron-sulfur cluster insertion protein ErpA,erpA,2,EG12332-MONOMER,erpA,EG12332-MONOMER
711,iron-sulfur cluster insertion protein IscA,iscA,4,EG12132-MONOMER,iscA,EG12132-MONOMER
712,iron-sulfur cluster insertion protein NfuA,nfuA,2,G7748-MONOMER,nfuA,G7748-MONOMER
713,iron-sulfur cluster insertion protein SufA,sufA,2,EG11378-MONOMER,sufA,EG11378-MONOMER
714,IS2 insertion element repressor InsA,insC-1,2,G6212-MONOMER,insC-1,G6212-MONOMER
715,isoaspartyl dipeptidase,iadA,8,G7925-MONOMER,iadA,G7925-MONOMER
716,isochorismate synthase MenF,menF,2,MENF-MONOMER,menF,MENF-MONOMER
717,isocitrate dehydrogenase,icd,2,ISOCITDEH-SUBUNIT,icd,ISOCITDEH-SUBUNIT
718,isocitrate dehydrogenase kinase/phosphatase,aceK,2,ICITDEHASE-KIN-PHOSPHA,aceK,ICITDEHASE-KIN-PHOSPHA
719,isocitrate dehydrogenase-P,icd,2,ISOCITDEH-SUBUNIT,icd,ISOCITDEH-SUBUNIT
720,isocitrate lyase,aceA,4,ISOCIT-LYASE-MONOMER,aceA,ISOCIT-LYASE-MONOMER
721,isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,aidB,4,EG11811-MONOMER,aidB,EG11811-MONOMER
722,K<sup>+</sup> : H<sup>+</sup> antiporter KefC,kefC,2,KEFC-MONOMER,kefC,KEFC-MONOMER
723,K<sup>+</sup> transporting P-type ATPase,"kdpC"" // ""kdpB"" // ""kdpA"" // ""kdpF",1,EG10515-MONOMER,kdpC,EG10515-MONOMER
724,K<sup>+</sup> transporting P-type ATPase,"kdpC"" // ""kdpB"" // ""kdpA"" // ""kdpF",1,KDPB-MONOMER,kdpB,KDPB-MONOMER
725,K<sup>+</sup> transporting P-type ATPase,"kdpC"" // ""kdpB"" // ""kdpA"" // ""kdpF",1,EG10513-MONOMER,kdpA,EG10513-MONOMER
726,K<sup>+</sup> transporting P-type ATPase,"kdpC"" // ""kdpB"" // ""kdpA"" // ""kdpF",1,MONOMER0-12,kdpF,MONOMER0-12
727,ketol-acid reductoisomerase (NADP<sup>+</sup>),ilvC,4,KETOLREDUCTOISOM-MONOMER,ilvC,KETOLREDUCTOISOM-MONOMER
728,KHG/KDPG aldolase,eda,3,KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER,eda,KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER
729,"L(+)-tartrate dehydratase subunit &alpha;"" // ""L(+)-tartrate dehydratase subunit &beta;","ttdB"" // ""ttdA",2,TTDB-MONOMER,ttdB,TTDB-MONOMER
730,"L(+)-tartrate dehydratase subunit &alpha;"" // ""L(+)-tartrate dehydratase subunit &beta;","ttdB"" // ""ttdA",2,TTDA-MONOMER,ttdA,TTDA-MONOMER
731,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",gldA,8,GLYCDEH-MONOMER,gldA,GLYCDEH-MONOMER
732,"L-1,2-propanediol oxidoreductase",fucO,2,LACTALDREDUCT-MONOMER,fucO,LACTALDREDUCT-MONOMER
733,L-amino acid N-acyltransferase,mnaT,2,G6759-MONOMER,mnaT,G6759-MONOMER
734,L-arabinose isomerase,araA,6,ARABISOM-MONOMER,araA,ARABISOM-MONOMER
735,L-arginine ABC transporter,"artP"" // ""artM"" // ""artQ"" // ""artJ",2,ARTP-MONOMER,artP,ARTP-MONOMER
736,L-arginine ABC transporter,"artP"" // ""artM"" // ""artQ"" // ""artJ",1,ARTM-MONOMER,artM,ARTM-MONOMER
737,L-arginine ABC transporter,"artP"" // ""artM"" // ""artQ"" // ""artJ",1,ARTQ-MONOMER,artQ,ARTQ-MONOMER
738,L-arginine ABC transporter,"artP"" // ""artM"" // ""artQ"" // ""artJ",1,ARTJ-MONOMER,artJ,ARTJ-MONOMER
739,L-ascorbate specific PTS enzyme II,"ulaA"" // ""ulaB"" // ""ulaC",2,SGAT-MONOMER,ulaA,SGAT-MONOMER
740,L-ascorbate specific PTS enzyme II,"ulaA"" // ""ulaB"" // ""ulaC",1,YJFT-MONOMER,ulaB,YJFT-MONOMER
741,L-ascorbate specific PTS enzyme II,"ulaA"" // ""ulaB"" // ""ulaC",1,YJFU-MONOMER,ulaC,YJFU-MONOMER
742,L-ascorbate-6-phosphate lactonase,ulaG,6,G7855-MONOMER,ulaG,G7855-MONOMER
743,L-asparaginase 1,ansA,4,ANSA-MONOMER,ansA,ANSA-MONOMER
744,L-carnitine:&gamma;-butyrobetaine antiporter,caiT,3,CAIT-MONOMER,caiT,CAIT-MONOMER
745,L-cysteine desulfurase,sufS,2,G6906-MONOMER,sufS,G6906-MONOMER
746,L-fucose isomerase,fucI,6,FUCISOM-MONOMER,fucI,FUCISOM-MONOMER
747,L-fucose mutarotase,fucU,6,EG10355-MONOMER,fucU,EG10355-MONOMER
748,L-fuculose-phosphate aldolase,fucA,4,FUCPALDOL-MONOMER,fucA,FUCPALDOL-MONOMER
749,L-glutamine ABC transporter,"glnH"" // ""glnP"" // ""glnQ",1,GLNH-MONOMER,glnH,GLNH-MONOMER
750,L-glutamine ABC transporter,"glnH"" // ""glnP"" // ""glnQ",2,GLNP-MONOMER,glnP,GLNP-MONOMER
751,L-glutamine ABC transporter,"glnH"" // ""glnP"" // ""glnQ",2,GLNQ-MONOMER,glnQ,GLNQ-MONOMER
752,L-glutamine&mdash;D-fructose-6-phosphate aminotransferase,glmS,2,L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER,glmS,L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER
753,L-methionine/D-methionine ABC transporter,"metQ"" // ""metI"" // ""metN",1,METQ-MONOMER,metQ,METQ-MONOMER
754,L-methionine/D-methionine ABC transporter,"metQ"" // ""metI"" // ""metN",2,METI-MONOMER,metI,METI-MONOMER
755,L-methionine/D-methionine ABC transporter,"metQ"" // ""metI"" // ""metN",2,ABC-MONOMER,metN,ABC-MONOMER
756,L-rhamnonate dehydratase,rhmD,8,G7160-MONOMER,rhmD,G7160-MONOMER
757,L-rhamnose isomerase,rhaA,4,RHAMNISOM-MONOMER,rhaA,RHAMNISOM-MONOMER
758,L-rhamnose mutarotase,rhaM,2,EG11865-MONOMER,rhaM,EG11865-MONOMER
759,L-ribulose-5-phosphate 4-epimerase AraD,araD,4,RIBULPEPIM-MONOMER,araD,RIBULPEPIM-MONOMER
760,L-serine deaminase III,tdcG,2,LSERINEDEAM3-MONOMER,tdcG,LSERINEDEAM3-MONOMER
761,L-valine exporter,"ygaH"" // ""ygaZ",1,G7406-MONOMER,ygaH,G7406-MONOMER
762,L-valine exporter,"ygaH"" // ""ygaZ",1,G7405-MONOMER,ygaZ,G7405-MONOMER
763,L-xylulose kinase,lyxK,2,LYXK-MONOMER,lyxK,LYXK-MONOMER
764,large conductance mechanosensitive channel,mscL,5,EG11180-MONOMER,mscL,EG11180-MONOMER
765,leucine / L-phenylalanine ABC transporter,"livF"" // ""livG"" // ""livH"" // ""livM"" // ""livK",1,LIVF-MONOMER,livF,LIVF-MONOMER
766,leucine / L-phenylalanine ABC transporter,"livF"" // ""livG"" // ""livH"" // ""livM"" // ""livK",1,LIVG-MONOMER,livG,LIVG-MONOMER
767,leucine / L-phenylalanine ABC transporter,"livF"" // ""livG"" // ""livH"" // ""livM"" // ""livK",1,LIVH-MONOMER,livH,LIVH-MONOMER
768,leucine / L-phenylalanine ABC transporter,"livF"" // ""livG"" // ""livH"" // ""livM"" // ""livK",1,LIVM-MONOMER,livM,LIVM-MONOMER
769,leucine / L-phenylalanine ABC transporter,"livF"" // ""livG"" // ""livH"" // ""livM"" // ""livK",1,LIVK-MONOMER,livK,LIVK-MONOMER
770,lipid A disaccharide synthase,lpxB,8,LIPIDADISACCHARIDESYNTH-MONOMER,lpxB,LIPIDADISACCHARIDESYNTH-MONOMER
771,lipid hydroperoxide peroxidase,tpx,2,G6660-MONOMER,tpx,G6660-MONOMER
772,Lipid IV<sub>A</sub> palmitoyltransferase,pagP,2,EG12180-MONOMER,pagP,EG12180-MONOMER
773,lipoamide dehydrogenase,lpd,2,E3-MONOMER,lpd,E3-MONOMER
774,lipopolysaccharide transport system - outer membrane assembly complex,"lptE"" // ""lptD",1,EG10855-MONOMER,lptE,EG10855-MONOMER
775,lipopolysaccharide transport system - outer membrane assembly complex,"lptE"" // ""lptD",1,EG11569-MONOMER,lptD,EG11569-MONOMER
776,lipoprotein NlpI,nlpI,2,EG12371-MONOMER,nlpI,EG12371-MONOMER
777,lipoprotein release complex,"lolC"" // ""lolD"" // ""lolE",1,YCFU-MONOMER,lolC,YCFU-MONOMER
778,lipoprotein release complex,"lolC"" // ""lolD"" // ""lolE",2,YCFV-MONOMER,lolD,YCFV-MONOMER
779,lipoprotein release complex,"lolC"" // ""lolD"" // ""lolE",1,YCFW-MONOMER,lolE,YCFW-MONOMER
780,lipoyl synthase,lipA,2,EG11306-MONOMER,lipA,EG11306-MONOMER
781,Lon protease,lon,6,EG10542-MONOMER,lon,EG10542-MONOMER
782,low-specificity L-threonine aldolase,ltaE,4,LTAA-MONOMER,ltaE,LTAA-MONOMER
783,lysine / arginine / ornithine ABC transporter,"argT"" // ""hisM"" // ""hisP"" // ""hisQ",1,ARGT-MONOMER,argT,ARGT-MONOMER
784,lysine / arginine / ornithine ABC transporter,"argT"" // ""hisM"" // ""hisP"" // ""hisQ",1,HISM-MONOMER,hisM,HISM-MONOMER
785,lysine / arginine / ornithine ABC transporter,"argT"" // ""hisM"" // ""hisP"" // ""hisQ",2,HISP-MONOMER,hisP,HISP-MONOMER
786,lysine / arginine / ornithine ABC transporter,"argT"" // ""hisM"" // ""hisP"" // ""hisQ",1,HISQ-MONOMER,hisQ,HISQ-MONOMER
787,lysine decarboxylase 1,cadA,1,LYSDECARBOX-MONOMER,cadA,LYSDECARBOX-MONOMER
788,lysine decarboxylase 2,ldcC,1,LDC2-MONOMER,ldcC,LDC2-MONOMER
789,lysine&mdash;tRNA ligase/Ap<sub>4</sub>A synthetase/Ap<sub>3</sub>A synthetase,lysU,2,LYSU-MONOMER,lysU,LYSU-MONOMER
790,"lysine&mdash;tRNA ligase, constitutive",lysS,2,LYSS-MONOMER,lysS,LYSS-MONOMER
791,macrodomain Ter protein,matP,2,EG12855-MONOMER,matP,EG12855-MONOMER
792,macrolide ABC exporter,"macA"" // ""macB"" // ""tolC",6,MACA,macA,MACA
793,macrolide ABC exporter,"macA"" // ""macB"" // ""tolC",2,MACB,macB,MACB
794,macrolide ABC exporter,"macA"" // ""macB"" // ""tolC",2,EG11009-MONOMER,tolC,EG11009-MONOMER
795,malate dehydrogenase,mdh,2,MALATE-DEHASE-MONOMER,mdh,MALATE-DEHASE-MONOMER
796,malate dehydrogenase,maeB,6,MALIC-NADP-MONOMER,maeB,MALIC-NADP-MONOMER
797,"malate dehydrogenase, NAD-requiring",maeA,4,MALIC-NAD-MONOMER,maeA,MALIC-NAD-MONOMER
798,maltodextrin phosphorylase,malP,2,MALDEXPHOSPHORYL-MONOMER,malP,MALDEXPHOSPHORYL-MONOMER
799,maltose ABC transporter,"malE"" // ""malG"" // ""malF"" // ""malK",1,MALE-MONOMER,malE,MALE-MONOMER
800,maltose ABC transporter,"malE"" // ""malG"" // ""malF"" // ""malK",1,MALG-MONOMER,malG,MALG-MONOMER
801,maltose ABC transporter,"malE"" // ""malG"" // ""malF"" // ""malK",1,MALF-MONOMER,malF,MALF-MONOMER
802,maltose ABC transporter,"malE"" // ""malG"" // ""malF"" // ""malK",2,MALK-MONOMER,malK,MALK-MONOMER
803,maltose <i>O</i>-acetyltransferase,maa,3,MALTACETYLTRAN-MONOMER,maa,MALTACETYLTRAN-MONOMER
804,maltose outer membrane porin / phage lambda receptor protein,lamB,3,EG10528-MONOMER,lamB,EG10528-MONOMER
805,mannitol-specific PTS enzyme II,mtlA,2,MTLA-MONOMER,mtlA,MTLA-MONOMER
806,mannitol-specific PTS enzyme II CmtBA,"cmtA"" // ""cmtB",1,CMTA-MONOMER,cmtA,CMTA-MONOMER
807,mannitol-specific PTS enzyme II CmtBA,"cmtA"" // ""cmtB",1,CMTB-MONOMER,cmtB,CMTB-MONOMER
808,mannose-specific PTS enzyme II,"manX"" // ""manY"" // ""manZ",2,MANX-MONOMER,manX,MANX-MONOMER
809,mannose-specific PTS enzyme II,"manX"" // ""manY"" // ""manZ",1,MANY-MONOMER,manY,MANY-MONOMER
810,mannose-specific PTS enzyme II,"manX"" // ""manY"" // ""manZ",2,MANZ-MONOMER,manZ,MANZ-MONOMER
811,mannose-specific PTS enzyme IIAB component,manX,2,MANX-MONOMER,manX,MANX-MONOMER
812,MazE antitoxin of the MazF-MazE toxin-antitoxin system / DNA-binding transcriptional repressor,mazE,2,EG10571-MONOMER,mazE,EG10571-MONOMER
813,MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity,mazF,2,EG11249-MONOMER,mazF,EG11249-MONOMER
814,McrBC restriction endonuclease,"mcrC"" // ""mcrB",1,EG10575-MONOMER,mcrC,EG10575-MONOMER
815,McrBC restriction endonuclease,"mcrC"" // ""mcrB",1,EG10574-MONOMER,mcrB,EG10574-MONOMER
816,methionine adenosyltransferase,metK,4,S-ADENMETSYN-MONOMER,metK,S-ADENMETSYN-MONOMER
817,methionine&mdash;tRNA ligase,metG,2,METG-MONOMER,metG,METG-MONOMER
818,methyl-accepting chemotaxis protein - dipeptide-sensing,tap,2,TAP-MONOMER,tap,TAP-MONOMER
819,methyl-accepting chemotaxis protein - serine-sensing,tsr,2,TSR-MONOMER,tsr,TSR-MONOMER
820,methyl-accepting chemotaxis protein Tar,tar,2,TAR-MONOMER,tar,TAR-MONOMER
821,methyl-accepting chemotaxis protein Trg - ribose/galactose/glucose-sensing,trg,2,TRG-MONOMER,trg,TRG-MONOMER
822,methylglyoxal synthase,mgsA,6,METHGLYSYN-MONOMER,mgsA,METHGLYSYN-MONOMER
823,methylmalonyl-CoA decarboxylase,scpB,6,G7516-MONOMER,scpB,G7516-MONOMER
824,methylmalonyl-CoA mutase,scpA,2,METHYLMALONYL-COA-MUT-MONOMER,scpA,METHYLMALONYL-COA-MUT-MONOMER
825,methylphosphonate degradation complex,"phnI"" // ""phnG"" // ""phnH"" // ""phnL",1,EG10718-MONOMER,phnI,EG10718-MONOMER
826,methylphosphonate degradation complex,"phnI"" // ""phnG"" // ""phnH"" // ""phnL",1,EG10716-MONOMER,phnG,EG10716-MONOMER
827,methylphosphonate degradation complex,"phnI"" // ""phnG"" // ""phnH"" // ""phnL",1,EG10717-MONOMER,phnH,EG10717-MONOMER
828,methylphosphonate degradation complex,"phnI"" // ""phnG"" // ""phnH"" // ""phnL",1,PHNL-MONOMER,phnL,PHNL-MONOMER
829,miniconductance mechanosensitive channel MscM,mscM,7,G7840-MONOMER,mscM,G7840-MONOMER
830,miniconductance mechanosensitive channel YbdG,ybdG,7,G6323-MONOMER,ybdG,G6323-MONOMER
