(Proteins Complexes Compounds),Object ID,Gene
antitoxin/DNA-binding transcriptional repressor HigA,G7601-MONOMER,higA
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit",MONOMER0-422,yiaM
DNA gyrase subunit A,EG10423-MONOMER,gyrA
macrolide ABC exporter,TRANS-200-CPLX,
LacI-allolactose,MONOMER0-159,
<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP,CIS-DELTA5-DODECENOYL-ACP,acpP
putative lipoprotein YacC,EG11089-MONOMER,yacC
D-allulose-6-phosphate 3-epimerase,EG11957-MONOMER,alsE
&beta;-glucuronidase,CPLX0-7662,
RhaR-L-rhamnose DNA-binding transcriptional activator,MONOMER-47,
UPF0253 family protein YaeP,MONOMER0-741,yaeP
EG12666-MONOMER,EG12666-MONOMER,lpxH
30S ribosome binding factor,EG11178-MONOMER,rbfA
dTDP-glucose pyrophosphorylase,CPLX0-8034,
FrmR-formol,CPLX0-8235,
"fructose-1,6-bisphosphatase 1",F16B-MONOMER,fbp
phosphopentomutase,PPENTOMUT-MONOMER,deoB
anaerobic ribonucleoside-triphosphate reductase activating protein,RNTRACTIV-MONOMER,nrdG
"putative transport complex, ABC superfamily",ABC-61-CPLX,
DgsA-EII,CPLX0-8059,
putative heavy metal binding protein YbjQ,G6451-MONOMER,ybjQ
Sel1 repeat-containing protein YbeT,G6354-MONOMER,ybeT
prophage P2 late control protein OgrK,G7119-MONOMER,ogrK
succinylornithine transaminase,SUCCORNTRANSAM-CPLX,
MprA-CCCP,CPLX0-7743,
putative 3-phenylpropionate transporter,HCAT-MONOMER,hcaT
putative zinc-binding dehydrogenase YphC,YPHC-MONOMER,yphC
sulfur acceptor for SufS cysteine desulfurase,G6905-MONOMER,sufE
Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter,CPLX0-7641,
ArgP-lysine,CPLX0-7670,
cAMP phosphodiesterase,G7579-MONOMER,cpdA
flagellar protein,G7027-MONOMER,flhE
16S rRNA m<sup>2</sup>G966 methyltransferase,EG10343-MONOMER,rsmD
"D-allose ABC transporter ATP binding subunit"" // ""D-allose ABC transporter membrane subunit"" // ""D-allose ABC transporter periplasmic binding protein",ABC-42-CPLX,
TrpR-Tryptophan DNA-binding transcriptional repressor,CPLX-125,
CDP-diglyceride synthetase,CDPDIGLYSYN-MONOMER,cdsA
glucose-1-phosphate adenylyltransferase,GLUC1PADENYLTRANS-MONOMER,glgC
tRNA-dihydrouridine synthase A,EG11932-MONOMER,dusA
ribulokinase,RIBULOKIN-CPLX,
AllS-allantoin DNA-binding transcriptional activator,MONOMER0-2221,
soluble Cu<sup>+</sup> chaperone,MONOMER0-4382,copA
Qin prophage; protein YdfO,G6822-MONOMER,ydfO
DUF2509 domain-containing protein YgdB,EG11155-MONOMER,ygdB
&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase,CPLX0-7615,
Lrp-Leucine DNA-binding transcriptional dual regulator,MONOMER0-155,
multidrug efflux pump membrane subunit EmrB,EMRB-MONOMER,emrB
putative amino acid kinase,G7493-MONOMER,yqeA
RHAMNULOKIN-MONOMER,RHAMNULOKIN-MONOMER,rhaB
cryptic phosphonate ABC transporter,ABC-23-CPLX,
AcnB-4Fe-4S,CPLX0-8203,
putative diguanylate cyclase DgcI,G6434-MONOMER,dgcI
molybdopterin-synthase adenylyltransferase,EG10154-MONOMER,moeB
putative acyl transferase,G7099-MONOMER,wcaF
<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase,PURE-CPLX,
TreR-trehalose 6-phosphate,CPLX0-8056,
fused glutathionylspermidine amidase / glutathionylspermidine synthetase,GSP-MONOMER,gss
Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter,B0752-MONOMER,zitB
putative oxidoreductase,G6887-MONOMER,ydhF
outer membrane porin PhoE,CPLX0-7530,
ArsR-arsenite,CPLX0-7736,
DUF2623 domain-containing protein YghW,G7555-MONOMER,yghW
"ribosome-dependent GTPase, ribosome assembly factor",EG11837-MONOMER,bipA
type 1 fimbriae major subunit,EG10308-MONOMER,fimA
"6-phosphogluconate dehydrogenase, decarboxylating",6PGLUCONDEHYDROG-CPLX,
Fur-Fe+2,CPLX0-7620,
CAIC-MONOMER,CAIC-MONOMER,caiC
outer membrane phospholipase A,MONOMER0-341,pldA
conserved protein YjaG,EG11916-MONOMER,yjaG
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",PHOSGLYCMUTASE,
UxuR-fructuronate,MONOMER0-2101,
IS2 element transposase InsAB',MONOMER0-4259,insCD-6
excision nuclease subunit C,EG11063-MONOMER,uvrC
NlpC/P60 family lipoprotein NlpC,EG11133-MONOMER,nlpC
predicted rRNA methyltransferase,CPLX0-7422,
RbsR-D-ribose,MONOMER-60,
conserved inner membrane protein YcjF,EG12870-MONOMER,ycjF
putative lipoprotein YfiL,EG12446-MONOMER,yfiL
pyrroline-5-carboxylate reductase,PYRROLINECARBREDUCT-MONOMER,proC
DNA-binding transcriptional dual regulator IHF,PC00027,
PuuR-putrescine,CPLX0-8085,
PKHD-type hydroxylase YbiX,G6413-MONOMER,ybiX
metal phosphate:H<sup>+</sup> symporter PitB,PITB-MONOMER,pitB
CP4-44 prophage; inner membrane protein YeeR,G7081-MONOMER,yeeR
hydroxyisourate hydrolase / transthyretin-related protein,CPLX0-3961,
CytR-cytidine,CPLX0-8051,
glyoxylate carboligase,GLYOCARBOLIG-MONOMER,gcl
carboxylate-amine ligase,G6326-MONOMER,ybdK
putative oxidoreductase YdgJ,G6868-MONOMER,ydgJ
ornithine carbamoyltransferase,ORNCARBAMTRANSFERF-CPLX,
NemR-methylglyoxal,CPLX0-7716,
"putative secretion pathway protein, M-type protein, membrane anchored",G7535-MONOMER,yghD
L-ascorbate specific PTS enzyme IIA component,YJFU-MONOMER,ulaC
serine protease inhibitor ecotin,EG10255-MONOMER,eco
evolved &beta;-D-galactosidase,CPLX0-3937,
IclR-glyox,CPLX0-7606,
(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP,BETA-HYDROXY-CIS-DELTA5-DODECENOYL-ACP,acpP
protein YebV,G7009-MONOMER,yebV
DNA gyrase inhibitor,EG11892-MONOMER,sbmC
NADH:quinone oxidoreductase I,NADH-DHI-CPLX,
NikR-Ni transcriptional repressor,MONOMER0-1781,
DLP12 prophage; IS3 element protein InsE,MONOMER0-4243,insE-3
UDP-<i>N</i>-acetylglucosamine&mdash;undecaprenyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase,GLCNACPTRANS-MONOMER,rfe
putative lipoprotein YceB,EG11117-MONOMER,yceB
fructoselysine 3-epimerase,CPLX0-3861,
GutR-sorbitol,MONOMER-56,
DUF1418 domain-containing protein YbjC,EG12842-MONOMER,ybjC
"(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",G6805-MONOMER,lsrG
phosphoserine/phosphohydroxythreonine aminotransferase,PSERTRANSAM-MONOMER,serC
malate dehydrogenase,MALATE-DEHASE,
ComR-Cu(I),CPLX0-8074,
putative fimbrial protein YbgO,G6385-MONOMER,ybgO
protein YgeL,G7476-MONOMER,ygeL
hydroxyisourate hydrolase / transthyretin-related protein,G7058-MONOMER,yedX
D-aminoacyl-tRNA deacylase,CPLX0-3581,
MetJ-adenine,CPLX0-8027,
glutamate racemase,GLUTRACE-MONOMER,murI
putative anaerobic sulfatase maturation enzyme,EG10090-MONOMER,aslB
DUF1161 domain-containing protein YnfD,G6844-MONOMER,ynfD
IMP dehydrogenase,IMP-DEHYDROG-CPLX,
CueR-Cu<sup>+</sup>,CPLX0-7702,
putative LysR-type DNA-binding transcriptional regulator YgfI,G7518-MONOMER,ygfI
ATP synthase F<sub>o</sub> complex subunit a,ATPB-MONOMER,atpB
Qin prophage; DNA-binding transcriptional regulator for DicB,EG10228-MONOMER,dicC
inosine/guanosine kinase,CPLX0-322,
ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator,CPLX0-6,
putative nucleoside:H<sup>+</sup> symporter family transporter YegT,B2098-MONOMER,yegT
putative acid&mdash;amine ligase YjfC,EG11812-MONOMER,yjfC
2-amino-6-<i>N</i>-hydroxylaminopurine resistance protein,EG11870-MONOMER,yiiM
glutathione <i>S</i>-transferase GstA,GST-CPLX,
BetI-choline,MONOMER0-49,
IS1 protein InsA,MONOMER0-4227,insA-3
uncharacterized protein YobI,MONOMER0-2871,yobI
"ATP dependent, structure specific DNA nuclease - SbcD subunit",EG11094-MONOMER,sbcD
isoaspartyl dipeptidase,CPLX0-3021,
TyrR-Phenylalanine DNA-binding transcriptional repressor,MONOMER0-163,
putative NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity,EG12693-MONOMER,nudL
DNA topoisomerase 1,EG11013-MONOMER,topA
PRIBFAICARPISOM-MONOMER,PRIBFAICARPISOM-MONOMER,hisA
glutamate 5-kinase,GLUTKIN-CPLX,
GalS-galactose,MONOMER-53,
glutamate/aspartate ABC transporter periplasmic binding protein,G6359-MONOMER,gltI
putative oxidoreductase Fe-S subunit AegA,EG12409-MONOMER,aegA
"intermembrane phospholipid transport system, ATP binding subunit MlaF",YRBF-MONOMER,mlaF
bacterial condensin MukBEF,CPLX0-2561,
YqjI-nickel,CPLX0-8069,
DUF2492 domain-containing protein YecH,G7036-MONOMER,yecH
cryptic phosphonate ABC transporter membrane subunit,PHNE-MONOMER,phnE_1
"D-gluconate kinase, thermosensitive",GLUCONOKINI-MONOMER,idnK
glycine cleavage system,GCVMULTI-CPLX,
NsrR-nitric oxide,CPLX0-7751,
Qin prophage; putative lysozyme,G6827-MONOMER,rrrQ
DLP12 prophage; lysozyme,G6310-MONOMER,rrrD
putative aminohydrolase,G7498-MONOMER,ssnA
DNA gyrase,CPLX0-2425,
XapR-xanthosine DNA-binding transcriptional activator,CPLX0-7681,
ATP-dependent Clp protease ATP-binding subunit ClpX,EG10159-MONOMER,clpX
putative glycerophosphodiester uptake family transporter YihN,YIHN-MONOMER,yihN
B1296-MONOMER,B1296-MONOMER,puuP
ureidoglycolate dehydrogenase,CPLX0-7993,
CRP-cAMP DNA-binding transcriptional dual regulator,CPLX0-226,
sulfoquinovose isomerase,EG11845-MONOMER,yihS
galactose-1-phosphate uridylyltransferase,GALACTURIDYLYLTRANS-MONOMER,galT
exodeoxyribonuclease VII subunit XseA,EG11072-MONOMER,xseA
dihydroneopterin triphosphate 2'-epimerase,FOLXTET-CPLX,
DnaA-ATP DNA-binding transcriptional dual regulator,MONOMER0-160,
lysophospholipid transporter,EG12455-MONOMER,lplT
oxygen-sensing c-di-GMP phosphodiesterase DosP,G6783-MONOMER,dosP
PNUC-MONOMER,PNUC-MONOMER,pnuC
anaerobic ribonucleoside-triphosphate reductase activating protein,CPLX0-229,
BirA-bio-5'-AMP DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase,MONOMER-48,
universal stress protein G,G6334-MONOMER,uspG
RNA pyrophosphohydrolase,G7459-MONOMER,rppH
YJIZ-MONOMER,YJIZ-MONOMER,lgoT
DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,CPLX0-7975,
ExuR-&alpha;-D-glucuronate,CPLX0-8246,
CopC domain-containing protein,G7014-MONOMER,yobA
peroxide stress resistance protein YaaA,EG10011-MONOMER,yaaA
L-glutamine ABC transporter ATP binding subunit,GLNQ-MONOMER,glnQ
"<i>holo</i>-EntB dimer"" // ""phosphopantetheinyl transferase EntD"" // ""<i>holo</i> [EntF peptidyl-carrier protein]"" // ""2,3-dihydroxybenzoate-AMP ligase",ENTMULTI-CPLX,
enterobactin synthase component B,ENTB-MONOMER,entB
GcvA-gly,CPLX0-8060,
glutaminase 2,G6810-MONOMER,glsB
asparagine synthetase A,ASNSYNA-MONOMER,asnA
protein YgeP,G7482-MONOMER,ygeP
ferric enterobactin outer membrane transport complex,CPLX0-1941,
MurR-MurNAc-6-P,CPLX0-7746,
transcriptional antiterminator BglG,EG10116-MONOMER,bglG
putative LysR-type DNA-binding transcriptional regulator YfiE,EG11785-MONOMER,yfiE
ATP synthase F<sub>1</sub> complex subunit &gamma;,ATPG-MONOMER,atpG
2-hydroxy-6-oxononatrienedioate hydrolase,CPLX0-7950,
ArgP-arginine  DNA-binding transcriptional dual regulator,CPLX0-7671,
&gamma;-glutamylputrescine oxidase,EG11822-MONOMER,puuB
uncharacterized protein YjbS,MONOMER0-2829,yjbS
uncharacterized membrane protein YoaK,MONOMER0-2876,yoaK
nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase,DMBPPRIBOSYLTRANS-CPLX,
Cra-fructose-1-phosphate,CPLX-127,
protein chain elongation factor EF-Ts,EG11033-MONOMER,tsf
stringent starvation protein A,EG10977-MONOMER,sspA
protein that modulates Hha toxicity,EG12429-MONOMER,tomB
Dps complex; stationary phase nucleoid component that sequesters iron and protects DNA from damage,CPLX0-1521,
NagC-NAcGlc-6-P,MONOMER0-2261,
phosphoglucosamine mutase,PHOSGLUCOSAMINEMUT-MONOMER,glmM
RcsD phosphotransferase,EG12385-MONOMER,rcsD
DLP12 prophage; putative tail fiber assembly protein TfaD,G6315-MONOMER,tfaD
NADPH-dependent curcumin/dihydrocurcumin reductase,CPLX0-7927,
MetJ-S-adenosylmethionine,MONOMER0-157,
acetate/glycolate:cation symporter,YJCG-MONOMER,actP
DUF2877 domain-containing protein YlbF,G6289-MONOMER,ylbF
phosphoribosylglycinamide formyltransferase 2,GARTRANSFORMYL2-MONOMER,purT
D-cysteine desulfhydrase,DCYSDESULF-CPLX,
"UxuR-&alpha;-D-galacturonate,&alpha;-D-glucuronate DNA-binding transcriptional repressor",CPLX0-8209,
DNA-binding transcriptional dual regulator YdeO,G6789-MONOMER,ydeO
putative major facilitator superfamily transporter YhhS,YHHS-MONOMER,yhhS
putative acyltransferase,G7464-MONOMER,yqeF
formyl-CoA transferase,CPLX0-1142,
GlpR-glycerol,CPLX0-8057,
DNA oxidative demethylase,EG10037-MONOMER,alkB
hydroxamate siderophore iron reductase,G7949-MONOMER,fhuF
aspartate carbamoyltransferase catalytic subunit,ASPCARBCAT-MONOMER,pyrB
glutamate&mdash;pyruvate aminotransferase AlaC,CPLX0-7887,
ArsR-antimonite,CPLX0-7739,
lipoate&mdash;protein ligase A,EG11796-MONOMER,lplA
NADPH-dependent curcumin/dihydrocurcumin reductase,G6760-MONOMER,curA
putative inhibitor of the PtsG glucose transporter,MONOMER0-2842,sgrT
putative 4-oxalocrotonate tautomerase (4-OT),CPLX0-902,
FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator,CPLX0-7650,
"3-methyl-adenine DNA glycosylase I, constitutive",EG10986-MONOMER,tag
putative deoxygluconate dehydrogenase,G7440-MONOMER,ygcW
methionine sulfoxide reductase B,EG12394-MONOMER,msrB
FecAR Signal Transduction System,CPLX-3944,
PurR-Hypoxanthine DNA-binding transcriptional repressor,CPLX-123,
DLP12 prophage; putative exonuclease,G6295-MONOMER,ybcC
"dTDP-glucose 4,6-dehydratase 1",DTDPGLUCDEHYDRAT-MONOMER,rfbB
putative hydroxy/aromatic amino acid permease family transporter YhjV,YHJV-MONOMER,yhjV
sulfur acceptor protein CsdE,CPLX0-7839,
UlaR-L-ascorbate-6P,MONOMER0-2162,
protein YjjY,G7954-MONOMER,yjjY
"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",AROF-MONOMER,aroF
DUF5445 domain-containing protein YncH,G6766-MONOMER,yncH
pseudouridine-5'-phosphate glycosidase,CPLX0-8233,
IdnR-5-ketogluconate DNA-binding transcriptional dual regulator,MONOMER0-1301,
putative flavodoxin YqcA,G7448-MONOMER,yqcA
conserved protein YibG,EG11763-MONOMER,yibG
deoxyuridine triphosphatase,DUTP-PYROP-MONOMER,dut
&beta;-glucoside specific PTS enzyme II,CPLX-153,
LsrR-AI-2,CPLX0-8088,
aromatic amino acid:H<sup>+</sup> symporter AroP,AROP-MONOMER,aroP
DLP12 prophage; uncharacterized protein YlcH,MONOMER0-2813,ylcH
PF15631 family protein YbbC,EG11769-MONOMER,ybbC
heme-containing peroxidase/deferrochelatase,CPLX0-7810,
MurR-<i>N</i>-acetylmuramate 6-phosphate,CPLX0-8054,
uncharacterized protein YmgJ,MONOMER0-2819,ymgJ
putative 9-<i>O</i>-acetyl-<i>N</i>-acetylneuraminate esterase,G7919-MONOMER,nanS
DNA-binding transcriptional dual regulator HypT,G7924-MONOMER,hypT
S6:S18 ribosomal subunit complex,CPLX0-8208,
PaaX-phenylacetyl-CoA,CPLX0-7729,
putative DNA-binding transcriptional regulator of maltose metabolism,EG10949-MONOMER,sfsA
exodeoxyribonuclease I,EG10926-MONOMER,sbcB
16S rRNA m<sup>3</sup>U1498 methyltransferase,EG12366-MONOMER,rsmE
&beta;-galactosidase,BETAGALACTOSID-CPLX,
RcnR-nickel,CPLX0-7618,
ureidoglycolate lyase,G6275-MONOMER,allA
putative fimbrial protein YbgD,EG12359-MONOMER,ybgD
lipopolysaccharide transport system protein LptA,YHBN-MONOMER,lptA
proofreading thioesterase in enterobactin biosynthesis,CPLX0-7766,
FhlA-Formate DNA-binding transcriptional activator,MONOMER0-183,
fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR,G7936-MONOMER,yjiR
chaperone and weak protein oxidoreductase,G6268-MONOMER,ybbN
putative insertion element transposase InsQ,G6743-MONOMER,insQ
periplasmic serine endoprotease,CPLX0-8187,
MarR-salicylate,MONOMER-58,
type I-E CRISPR system Cascade subunit CasD,G7427-MONOMER,casD
putative glutamate:GABA antiporter family transporter YgjI,YGJI-MONOMER,ygjI
dimethyl sulfoxide reductase subunit B,DMSB-MONOMER,dmsB
fused aspartate kinase/homoserine dehydrogenase 1,ASPKINIHOMOSERDEHYDROGI-CPLX,
"arginine decarboxylase, degradative",ARGDECARBOXDEG-MONOMER,adiA
"putative ATPase, activator of (R)-hydroxyglutaryl-CoA dehdratase",G7931-MONOMER,yjiL
putative TonB-dependent receptor,EG11743-MONOMER,yddB
DNA-binding transcriptional dual regulator AsnC,CPLX0-7733,
flavodoxin 1,FLAVODOXIN1-MONOMER,fldA
IS2 element transposase InsAB',MONOMER0-2761,insCD-1
regulatory peptide whose translation enables hokB expression,G6736-MONOMER,mokB
KpLE2 phage-like element; IS1 repressor protein InsA,G7908-MONOMER,insA-7
tRNA pseudouridine<sup>38-40</sup> synthase,CPLX0-7728,
flavodoxin 2,FLAVODOXIN2-MONOMER,fldB
30S ribosomal subunit protein S15,EG10914-MONOMER,rpsO
tRNA pseudouridine<sup>13</sup> synthase,G7422-MONOMER,truD
CP4-6 prophage; protein YagA,EG12338-MONOMER,yagA
molybdopterin adenylyltransferase,CPLX0-8163,
putative c-di-GMP phosphodiesterase PdeB,G6252-MONOMER,pdeB
DLACTDEHYDROGFAD-MONOMER,DLACTDEHYDROGFAD-MONOMER,dld
putative oligopeptide ABC transporter periplasmic binding protein,YEJA-MONOMER,yejA
cytochrome <i>bd</i>-II ubiquinol oxidase,APP-UBIOX-CPLX,
sulfur carrier protein ThiS,THIS-MONOMER,thiS
phenylacetate-CoA ligase,G6719-MONOMER,paaK
arabinose ABC transporter ATP binding subunit,ARAG-MONOMER,araG
fructose-1-phosphatase,G7408-MONOMER,yqaB
glutamate-putrescine ligase,CPLX0-7709,
DIENOYLCOAREDUCT-MONOMER,DIENOYLCOAREDUCT-MONOMER,fadH
"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase",EG11736-MONOMER,gmhB
ANSP-MONOMER,ANSP-MONOMER,ansP
acrylyl-CoA reductase,CPLX0-8121,
adenine:H<sup>+</sup> symporter,EG11724-MONOMER,adeP
KpLE2 phage-like element; surface adhesin E-like protein,G7902-MONOMER,yjhD
DUF2387 domain-containing protein YheV,MONOMER0-2688,yheV
agmatinase,AGMATIN-CPLX,
ribonuclease E inhibitor protein B,G7885-MONOMER,rraB
30S ribosomal subunit protein S10,EG10909-MONOMER,rpsJ
RNA polymerase subunit &alpha;,EG10893-MONOMER,rpoA
soluble pyridine nucleotide transhydrogenase,UDHA-CPLX,
DUF3300 domain-containing protein YacH,EG12315-MONOMER,yacH
conserved inner membrane protein YadS,EG12333-MONOMER,yadS
putative DNA-binding transcriptional regulator IprA,G6226-MONOMER,iprA
hypoxanthine phosphoribosyltransferase,CPLX0-7685,
dipeptide exporter,YDEF-MONOMER,ydeE
7-cyano-7-deazaguanine synthase,G6245-MONOMER,queC
lipoprotein implicated in Novobiocin resistance,G6702-MONOMER,hslJ
methyl-accepting chemotaxis protein Tar,CPLX0-8102,
CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,G7381-MONOMER,ypjF
glycine betaine ABC transporter ATP binding subunit YehX,YEHX-MONOMER,yehX
anaerobic C4-dicarboxylate transporter DcuC,DCUC-MONOMER,dcuC
"acetyl-CoA carboxyltransferase subunit &alpha;"" // ""acetyl-CoA carboxyltransferase subunit &beta;",ACETYL-COA-CARBOXYLTRANSFER-CPLX,
ALPHA-AMYL-CYTO-MONOMER,ALPHA-AMYL-CYTO-MONOMER,amyA
"putative 2,3-dehydroadipyl-CoA hydratase",G6714-MONOMER,paaF
putative inner membrane protein,EG11695-MONOMER,yidG
trimethylamine N-oxide reductase 1,TMAOREDUCTI-CPLX,
Rac prophage; putative lipoprotein,MONOMER0-2671,rzoR
G7399-MONOMER,G7399-MONOMER,alaE
inner membrane protein YtfF,G7867-MONOMER,ytfF
<i>N</i>-acetylneuraminate mutarotase,CPLX0-7658,
50S ribosomal subunit protein L15,EG10876-MONOMER,rplO
bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,DHHB-METHYLTRANSFER-MONOMER,ubiG
outer membrane protein YiaT,EG12288-MONOMER,yiaT
pyridoxal kinase 2,CPLX0-8031,
glucose-6-phosphate isomerase,PGLUCISOM,pgi
anaerobic glycerol-3-phosphate dehydrogenase subunit A,ANGLYC3PDEHYDROGSUBUNITA-MONOMER,glpA
DNA-binding transcriptional dual regulator PrpR,G6195-MONOMER,prpR
"putative D,D-dipeptide ABC transporter",ABC-59-CPLX,
&beta;-phosphoglucomutase,G6655-MONOMER,ycjU
aerobic C4-dicarboxylate transporter DauA,YCHM-MONOMER,dauA
colicin M resistance protein,EG11714-MONOMER,cbrA
Rac prophage; conserved protein YdaU,G6683-MONOMER,ydaU
spermidine synthase,SPERMIDINESYN-CPLX,
CP4-57 prophage; anti-bacteriophage protein,G7363-MONOMER,abpA
protein YpdJ,MONOMER0-2683,ypdJ
putative truncated N-acetylgalactosamine-6-phosphate deacetylase,AGAA-MONOMER,agaA
NAD(P)H:quinone oxidoreductase,CPLX0-7632,
undecaprenyl pyrophosphate phosphatase,EG11665-MONOMER,bacA
RutC family protein YjgH,G7879-MONOMER,yjgH
inner membrane protein with a role in acid resistance,MONOMER0-2489,yhiM
L-arginine ABC transporter,ABC-4-CPLX,
conserved inner membrane protein YjfL,G7849-MONOMER,yjfL
50S ribosomal subunit protein L30,EG10888-MONOMER,rpmD
ribonuclease E,EG10859-MONOMER,rne
allose-6-phosphate isomerase / ribose-5-phosphate isomerase B,RIB5PISOMB-CPLX,
protein BcsG,EG12265-MONOMER,bcsG
aminopeptidase B,EG12310-MONOMER,pepB
DNA-binding transcriptional repressor MetJ,PD04032,metJ
<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic),CPLX0-7610,
endolytic murein transglycosylase,EG11494-MONOMER,mltG
PHEP-MONOMER,PHEP-MONOMER,pheP
putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,G6177-MONOMER,ykgF
Ni(2+) ABC transporter,ABC-20-CPLX,
putative iron ABC exporter ATP-binding subunit FetA,YBBL-MONOMER,fetA
"putative acyltransferase, N-terminal fragment",G6214-MONOMER,yaiX_1
DNA-binding transcriptional repressor PgrR,G6664-MONOMER,pgrR
proline&mdash;tRNA ligase,PROS-CPLX,
sensory histidine kinase GlrK,G7345-MONOMER,glrK
"putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD",YDDP-MONOMER,ddpD
acetyl-CoA synthetase (AMP-forming),ACS-MONOMER,acs
carbonic anhydrase 2,CPLX0-7521,
diguanylate cyclase DgcZ,EG11643-MONOMER,dgcZ
Rac prophage; putative site-specific recombinase,G6697-MONOMER,pinR
toxin HokB,MONOMER0-1604,hokB
&beta;-ketoacyl-[acyl carrier protein] synthase II,3-OXOACYL-ACP-SYNTHII-CPLX,
protein FxsA,G7832-MONOMER,fxsA
"CP4-57 prophage; putative arsenite transporter, N-terminal fragment",G7376-MONOMER,ypjM_1
flagellar filament capping protein,EG10841-MONOMER,fliD
phenylalanine&mdash;tRNA ligase,PHES-CPLX,
cytochrome <I>c</i> peroxidase,EG12244-MONOMER,ccp
alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor,ALAS-MONOMER,alaS
DNA-binding transcriptional repressor Mlc,PD01896,mlc
DNA-binding transcriptional repressor MprA,CPLX0-7418,
macrodomain Ori protein,EG11450-MONOMER,maoP
putative inner membrane protein,EG11688-MONOMER,yicL
inner membrane protein that contributes to acid resistance,G6158-MONOMER,yagU
DNA-binding transcriptional dual regulator ArgR,PC00005,
XAPB-MONOMER,XAPB-MONOMER,xapB
conserved protein YmdF,MONOMER0-2665,ymdF
DUF2543 domain-containing protein YmjA,G6642-MONOMER,ymjA
ATP dependent structure specific DNA nuclease,CPLX0-3957,
outer membrane protein assembly factor BamB,G7320-MONOMER,bamB
protein YjfZ,G7862-MONOMER,yjfZ
molybdopterin synthase catalytic subunit,EG11598-MONOMER,moaE
periplasmic nitrite reductase NrfAB,NRFMULTI-CPLX,
methylglyoxal reductase DkgB,MONOMER0-149,dkgB
50S ribosomal subunit protein L9,EG10870-MONOMER,rplI
putative DNA-binding transcriptional regulator DgoR,G7790-MONOMER,dgoR
Outer Membrane Protein Assembly Complex,CPLX0-3933,
DNA recombination/repair protein RecA,EG10823-MONOMER,recA
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit",EG12282-MONOMER,yiaN
putative autoinducer 2 exporter family transporter YhhT,EG12220-MONOMER,yhhT
"MutHLS complex, methyl-directed mismatch repair",MUTHLS-CPLX,
DNA-binding transcriptional repressor TrpR,PD00423,trpR
PEPCARBOXYKIN-MONOMER,PEPCARBOXYKIN-MONOMER,pck
O-antigen ligase,EG11424-MONOMER,waaL
"DNA polymerase III, holoenzyme",CPLX0-3803,
IS1 protein InsA,G6139-MONOMER,insA-2
"aldehyde reductase, NADPH-dependent",G6190-MONOMER,yahK
hexose-6-phosphate:phosphate antiporter,UHPT-MONOMER,uhpT
"lysine&mdash;tRNA ligase, constitutive",LYSS-CPLX,
uncharacterized protein YcgY,G6625-MONOMER,ycgY
YCEE-MONOMER,YCEE-MONOMER,mdtG
DUF1176 domain-containing protein YpfG,G7295-MONOMER,ypfG
polynucleotide phosphorylase,CPLX0-3521,
3-isopropylmalate dehydrogenase,3-ISOPROPYLMALDEHYDROG-MONOMER,leuB
Rac prophage; excisionase,G6677-MONOMER,xisR
putative electron transfer flavoprotein FixB,EG11563-MONOMER,fixB
hydroperoxidase I,HYDROPEROXIDI-CPLX,
glyoxylate reductase,MONOMER-43,ghrB
ribosome association toxin RatA,G7358-MONOMER,ratA
iron-sulfur cluster insertion protein NfuA,G7748-MONOMER,nfuA
tetrahydrodipicolinate succinylase,CPLX0-3181,
tail-specific protease,EG10760-MONOMER,prc
adenylyl-sulfate kinase,ADENYLYLSULFKIN-MONOMER,cysC
