bact:PTTBC_ECOLI	PTS system trehalose-specific EIIBC component (EIIBC-Tre) (EII-Tre) [Includes: Trehalose-specific phosphotransferase enzyme IIB component (EC 2.7.1.201) (PTS system trehalose-specific EIIB component); Trehalose permease IIC component (PTS system trehalose-specific EIIC component)]	uniprot:P36672	treB b4240 JW4199
bact:PTV3B_ECOLI	PTS system beta-glucoside-specific EIIBCA component (EIIBCA-Bgl) (EII-Bgl) [Includes: Beta-glucoside-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system beta-glucoside-specific EIIB component); Beta-glucoside permease IIC component (PTS system beta-glucoside-specific EIIC component); Beta-glucoside-specific phosphotransferase enzyme IIA component (PTS system beta-glucoside-specific EIIA component)]	uniprot:P08722	bglF bglC bglS b3722 JW3700
bact:PTW3C_ECOLI	PTS system N-acetylglucosamine-specific EIICBA component (EIICBA-Nag) (EII-Nag) [Includes: N-acetylglucosamine permease IIC component (PTS system N-acetylglucosamine-specific EIIC component); N-acetylglucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system N-acetylglucosamine-specific EIIB component); N-acetylglucosamine-specific phosphotransferase enzyme IIA component (EC 2.7.1.193) (PTS system N-acetylglucosamine-specific EIIA component)]	uniprot:P09323	nagE pstN b0679 JW0665
bact:PTYBC_ECOLI	PTS system N-acetylmuramic acid-specific EIIBC component (EIIBC-MurNAc) [Includes: N-acetylmuramic acid-specific phosphotransferase enzyme IIB component (EC 2.7.1.192) (PTS system N-acetylmuramic acid-specific EIIB component); N-acetylmuramic acid permease IIC component (PTS system N-acetylmuramic acid-specific EIIC component)]	uniprot:P77272	murP yfeV b2429 JW2422
bact:PUR1_ECOLI	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	uniprot:P0AG16	purF b2312 JW2309
bact:PUR2_ECOLI	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	uniprot:P15640	purD b4005 JW3969
bact:PUR3_ECOLI	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	uniprot:P08179	purN b2500 JW2485
bact:PUR4_ECOLI	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT)	uniprot:P15254	purL purI b2557 JW2541
bact:PUR5_ECOLI	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	uniprot:P08178	purM purG b2499 JW2484
bact:PUR7_ECOLI	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	uniprot:P0A7D7	purC b2476 JW2461
bact:PUR8_ECOLI	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	uniprot:P0AB89	purB b1131 JW1117
bact:PUR9_ECOLI	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	uniprot:P15639	purH b4006 JW3970
bact:PURA_ECOLI	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	uniprot:P0A7D4	purA adeK b4177 JW4135
bact:PURE_ECOLI	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	uniprot:P0AG18	purE b0523 JW0512
bact:PURK_ECOLI	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	uniprot:P09029	purK b0522 JW0511
bact:PURT_ECOLI	Formate-dependent phosphoribosylglycinamide formyltransferase (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (EC 2.1.2.-) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	uniprot:P33221	purT b1849 JW1838
bact:PURU_ECOLI	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	uniprot:P37051	purU tgs ychI b1232 JW1220
bact:PUTA_ECOLI	Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]	uniprot:P09546	putA poaA b1014 JW0999
bact:PUTP_ECOLI	Sodium/proline symporter (Proline permease) (Propionate transporter)	uniprot:P07117	putP b1015 JW1001
bact:PUUA_ECOLI	Gamma-glutamylputrescine synthetase PuuA (Gamma-Glu-Put synthetase) (EC 6.3.1.11) (Glutamate--putrescine ligase)	uniprot:P78061	puuA ycjK b1297 JW5201
bact:PUUB_ECOLI	Gamma-glutamylputrescine oxidoreductase (Gamma-Glu-Put oxidase) (Gamma-glutamylputrescine oxidase) (EC 1.4.3.-)	uniprot:P37906	puuB ordL ycjA b1301 JW1294
bact:PUUC_ECOLI	NADP/NAD-dependent aldehyde dehydrogenase PuuC (ALDH) (EC 1.2.1.5) (3-hydroxypropionaldehyde dehydrogenase) (Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase) (Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase)	uniprot:P23883	puuC aldH b1300 JW1293
bact:PUUD_ECOLI	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (Gamma-Glu-GABA hydrolase) (EC 3.5.1.94)	uniprot:P76038	puuD ycjL b1298 JW1291
bact:PUUE_ECOLI	4-aminobutyrate aminotransferase PuuE (EC 2.6.1.19) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase)	uniprot:P50457	puuE goaG b1302 JW1295
bact:PUUP_ECOLI	Putrescine importer PuuP	uniprot:P76037	puuP ycjJ b1296 JW1289
bact:PYRB_ECOLI	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	uniprot:P0A786	pyrB b4245 JW4204
bact:PYRC_ECOLI	Dihydroorotase (DHOase) (EC 3.5.2.3)	uniprot:P05020	pyrC b1062 JW1049
bact:PYRD_ECOLI	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	uniprot:P0A7E1	pyrD b0945 JW0928
bact:PYRE_ECOLI	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	uniprot:P0A7E3	pyrE b3642 JW3617
bact:PYRF_ECOLI	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	uniprot:P08244	pyrF b1281 JW1273
bact:PYRG_ECOLI	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	uniprot:P0A7E5	pyrG b2780 JW2751
bact:PYRH_ECOLI	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	uniprot:P0A7E9	pyrH smbA b0171 JW0166
bact:PYRI_ECOLI	Aspartate carbamoyltransferase regulatory chain	uniprot:P0A7F3	pyrI b4244 JW4203
bact:QUEC_ECOLI	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	uniprot:P77756	queC ybaX b0444 JW0434
bact:QUED_ECOLI	6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)	uniprot:P65870	queD ygcM b2765 JW2735
bact:QUEF_ECOLI	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	uniprot:Q46920	queF yqcD b2794 JW2765
bact:RBSA_ECOLI	Ribose import ATP-binding protein RbsA (EC 3.6.3.17)	uniprot:P04983	rbsA b3749 JW3728
bact:RBSB_ECOLI	Ribose import binding protein RbsB	uniprot:P02925	rbsB prlB rbsP b3751 JW3730
bact:RBSC_ECOLI	Ribose import permease protein RbsC	uniprot:P0AGI1	rbsC b3750 JW3729
bact:RBSD_ECOLI	D-ribose pyranase (EC 5.4.99.62)	uniprot:P04982	rbsD b3748 JW5857
bact:RBSK_ECOLI	Ribokinase (RK) (EC 2.7.1.15)	uniprot:P0A9J6	rbsK b3752 JW3731
bact:RELA_ECOLI	GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)	uniprot:P0AG20	relA b2784 JW2755
bact:RFAB_ECOLI	Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-) (UDP-D-galactose--(Glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase)	uniprot:P27127	rfaB waaB b3628 JW3603
bact:RFAC_ECOLI	Lipopolysaccharide heptosyltransferase 1 (EC 2.-.-.-)	uniprot:P24173	rfaC rfa-2 waaC yibC b3621 JW3596
bact:RFAF_ECOLI	ADP-heptose--LPS heptosyltransferase 2 (EC 2.-.-.-) (ADP-heptose--LPS heptosyltransferase II)	uniprot:P37692	rfaF waaF b3620 JW3595
bact:RFAG_ECOLI	Lipopolysaccharide core biosynthesis protein RfaG (EC 2.4.-.-) (Glucosyltransferase I)	uniprot:P25740	rfaG pcsA waaG b3631 JW3606
bact:RFAI_ECOLI	Lipopolysaccharide 1,3-galactosyltransferase (EC 2.4.1.44) (Lipopolysaccharide 3-alpha-galactosyltransferase)	uniprot:P27128	rfaI waaI b3627 JW3602
bact:RFAJ_ECOLI	Lipopolysaccharide 1,2-glucosyltransferase (EC 2.4.1.58)	uniprot:P27129	rfaJ waaJ b3626 JW3601
bact:RFAL_ECOLI	O-antigen ligase	uniprot:P27243	rfaL waaL b3622 JW3597
bact:RFAP_ECOLI	Lipopolysaccharide core heptose(I) kinase RfaP (EC 2.7.1.-)	uniprot:P25741	rfaP waaP b3630 JW3605
bact:RFAQ_ECOLI	Lipopolysaccharide core heptosyltransferase RfaQ (EC 2.-.-.-)	uniprot:P25742	rfaQ waaQ b3632 JW3607
bact:RFAS_ECOLI	Lipopolysaccharide core biosynthesis protein RfaS	uniprot:P27126	rfaS b3629 JW3604
bact:RFAY_ECOLI	Lipopolysaccharide core heptose(II) kinase RfaY (EC 2.7.1.-)	uniprot:P27240	rfaY waaY b3625 JW3600
bact:RFAZ_ECOLI	Lipopolysaccharide core biosynthesis protein RfaZ	uniprot:P27241	rfaZ b3624 JW3599
bact:RFBX_ECOLI	Putative O-antigen transporter	uniprot:P37746	rfbX wzx b2037 JW2022
bact:RFC_ECOLI	O-antigen polymerase	uniprot:P37748	rfc yefF b2035 JW2020
bact:RHAA_ECOLI	L-rhamnose isomerase (EC 5.3.1.14)	uniprot:P32170	rhaA b3903 JW5561
bact:RHAB_ECOLI	L-Rhamnulokinase (RhaB) (RhuK) (EC 2.7.1.5) (ATP:L-rhamnulose phosphotransferase) (L-rhamnulose 1-kinase) (Rhamnulose kinase)	uniprot:P32171	rhaB b3904 JW3875
bact:RHAD_ECOLI	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	uniprot:P32169	rhaD rhuA b3902 JW3873
bact:RHAT_ECOLI	L-rhamnose-proton symporter (L-rhamnose-H(+) transport protein)	uniprot:P27125	rhaT b3907 JW3878
bact:RHTA_ECOLI	Threonine/homoserine exporter RhtA	uniprot:P0AA67	rhtA ybiF b0813 JW0798
bact:RHTB_ECOLI	Homoserine/homoserine lactone efflux protein	uniprot:P0AG34	rhtB yigK b3824 JW5585
bact:RHTC_ECOLI	Threonine efflux protein	uniprot:P0AG38	rhtC yigJ b3823 JW5586
bact:RIBA_ECOLI	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	uniprot:P0A7I7	ribA b1277 JW1269
bact:RIBB_ECOLI	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	uniprot:P0A7J0	ribB htrP b3041 JW3009
bact:RIBD_ECOLI	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	uniprot:P25539	ribD ribG ybaE b0414 JW0404
bact:RIBF_ECOLI	Riboflavin biosynthesis protein RibF [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	uniprot:P0AG40	ribF yaaC b0025 JW0023
bact:RIHA_ECOLI	Pyrimidine-specific ribonucleoside hydrolase RihA (EC 3.2.-.-) (Cytidine/uridine-specific hydrolase)	uniprot:P41409	rihA ybeK b0651 JW0646
bact:RIHB_ECOLI	Pyrimidine-specific ribonucleoside hydrolase RihB (EC 3.2.2.8) (Cytidine/uridine-specific hydrolase)	uniprot:P33022	rihB yeiK b2162 JW2149
bact:RIHC_ECOLI	Non-specific ribonucleoside hydrolase RihC (EC 3.2.-.-) (Purine/pyrimidine ribonucleoside hydrolase)	uniprot:P22564	rihC yaaF b0030 JW0028
bact:RIR1_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	uniprot:P00452	nrdA dnaF b2234 JW2228
bact:RIR2_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit beta (EC 1.17.4.1) (Protein B2) (Protein R2) (Ribonucleotide reductase 1)	uniprot:P69924	nrdB ftsB b2235 JW2229
bact:RIR3_ECOLI	Ribonucleoside-diphosphate reductase 2 subunit alpha (EC 1.17.4.1) (R1E protein) (Ribonucleotide reductase 2)	uniprot:P39452	nrdE b2675 JW2650
bact:RIR4_ECOLI	Ribonucleoside-diphosphate reductase 2 subunit beta (EC 1.17.4.1) (R2F protein) (Ribonucleotide reductase 2)	uniprot:P37146	nrdF ygaD b2676 JW2651
bact:RISA_ECOLI	Riboflavin synthase (RS) (EC 2.5.1.9)	uniprot:P0AFU8	ribC ribE b1662 JW1654
bact:RISB_ECOLI	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	uniprot:P61714	ribE ribH ybaF b0415 JW0405
bact:RMLA1_ECOLI	Glucose-1-phosphate thymidylyltransferase 1 (G1P-TT 1) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase 1) (dTDP-glucose synthase 1)	uniprot:P37744	rfbA rmlA rmlA1 b2039 JW2024
bact:RMLA2_ECOLI	Glucose-1-phosphate thymidylyltransferase 2 (G1P-TT 2) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase 2) (dTDP-glucose synthase 2)	uniprot:P61887	rffH rmlA2 yifG b3789 JW3763
bact:RMLB1_ECOLI	dTDP-glucose 4,6-dehydratase 1 (EC 4.2.1.46)	uniprot:P37759	rfbB rmlB b2041 JW2026
bact:RMLB2_ECOLI	dTDP-glucose 4,6-dehydratase 2 (EC 4.2.1.46)	uniprot:P27830	rffG b3788 JW5598
bact:RMLC_ECOLI	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase) (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase) (dTDP-L-rhamnose synthase)	uniprot:P37745	rfbC rmlC b2038 JW2023
bact:RMLD_ECOLI	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)	uniprot:P37760	rfbD rmlD b2040 JW2025
bact:RPE_ECOLI	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	uniprot:P0AG07	rpe dod yhfD b3386 JW3349
bact:RPIA_ECOLI	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	uniprot:P0A7Z0	rpiA ygfC b2914 JW5475
bact:RPIB_ECOLI	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)	uniprot:P37351	rpiB yjcA b4090 JW4051
bact:RSGA_ECOLI	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	uniprot:P39286	rsgA engC yjeQ b4161 JW4122
bact:RUTA_ECOLI	Pyrimidine monooxygenase RutA (EC 1.14.99.46)	uniprot:P75898	rutA ycdM b1012 JW0997
bact:RUTB_ECOLI	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB (EC 3.5.1.110) (Ureidoacrylate amidohydrolase)	uniprot:P75897	rutB ycdL b1011 JW5139
bact:RUTC_ECOLI	Putative aminoacrylate peracid reductase RutC (EC 1.-.-.-)	uniprot:P0AFQ5	rutC ycdK b1010 JW0995
bact:RUTD_ECOLI	Putative aminoacrylate hydrolase RutD (EC 3.5.1.-) (Aminohydrolase)	uniprot:P75895	rutD ycdJ b1009 JW0994
bact:RUTE_ECOLI	Probable malonic semialdehyde reductase RutE (EC 1.1.1.298)	uniprot:P75894	rutE ycdI b1008 JW0993
bact:RUTF_ECOLI	FMN reductase (NADH) RutF (EC 1.5.1.42) (FMN reductase) (NADH-flavin reductase RutF) (NADH:flavin oxidoreductase)	uniprot:P75893	rutF ycdH b1007 JW5138
bact:RUTG_ECOLI	Putative pyrimidine permease RutG	uniprot:P75892	rutG ycdG b1006 JW5137
bact:SAD_ECOLI	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad (SSADH) (SSDH) (EC 1.2.1.16)	uniprot:P76149	sad yneI b1525 JW5247
bact:SAPD_ECOLI	Putrescine export system ATP-binding protein SapD	uniprot:P0AAH4	sapD trkE b1291 JW1284
bact:SCPA_ECOLI	Methylmalonyl-CoA mutase (MCM) (EC 5.4.99.2)	uniprot:P27253	scpA sbm yliK b2917 JW2884
bact:SCPB_ECOLI	Methylmalonyl-CoA decarboxylase (MMCD) (EC 4.1.1.41) (Transcarboxylase)	uniprot:P52045	scpB mmcD ygfG b2919 JW2886
bact:SCPC_ECOLI	Propionyl-CoA:succinate CoA transferase (EC 2.8.3.-)	uniprot:P52043	scpC ygfH b2920 JW2887
bact:SDAC_ECOLI	Serine transporter	uniprot:P0AAD6	sdaC dcrA b2796 JW2767
bact:SDHA_ECOLI	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	uniprot:P0AC41	sdhA b0723 JW0713
bact:SDHB_ECOLI	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	uniprot:P07014	sdhB b0724 JW0714
bact:SDHD_ECOLI	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	uniprot:P00926	dsdA b2366 JW2363
bact:SDHL_ECOLI	L-serine dehydratase 1 (SDH 1) (EC 4.3.1.17) (L-serine deaminase 1) (L-SD1)	uniprot:P16095	sdaA b1814 JW1803
bact:SDHM_ECOLI	L-serine dehydratase 2 (SDH 2) (EC 4.3.1.17) (L-serine deaminase 2) (L-SD2)	uniprot:P30744	sdaB b2797 JW2768
bact:SELA_ECOLI	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase)	uniprot:P0A821	selA fdhA b3591 JW3564
bact:SELD_ECOLI	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)	uniprot:P16456	selD fdhB b1764 JW1753
bact:SERA_ECOLI	D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	uniprot:P0A9T0	serA b2913 JW2880
bact:SERB_ECOLI	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)	uniprot:P0AGB0	serB b4388 JW4351
bact:SERC_ECOLI	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	uniprot:P23721	serC pdxC pdxF b0907 JW0890
bact:SETA_ECOLI	Sugar efflux transporter A	uniprot:P31675	setA yabM b0070 JW0069
bact:SETB_ECOLI	Sugar efflux transporter B	uniprot:P33026	setB yeiO b2170 JW2157
bact:SFGH1_ECOLI	S-formylglutathione hydrolase FrmB (FGH) (EC 3.1.2.12)	uniprot:P51025	frmB yaiM b0355 JW0346
bact:SFGH2_ECOLI	S-formylglutathione hydrolase YeiG (FGH) (EC 3.1.2.12)	uniprot:P33018	yeiG b2154 JW2141
bact:SGBE_ECOLI	L-ribulose-5-phosphate 4-epimerase SgbE (EC 5.1.3.4) (Phosphoribulose isomerase)	uniprot:P37680	sgbE yiaS b3583 JW3555
bact:SGBH_ECOLI	3-keto-L-gulonate-6-phosphate decarboxylase SgbH (KGPDC) (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase)	uniprot:P37678	sgbH yiaQ b3581 JW3553
bact:SGCE_ECOLI	Protein SgcE (EC 5.1.3.-)	uniprot:P39362	sgcE yjhK b4301 JW4263
bact:SHIA_ECOLI	Shikimate transporter	uniprot:P76350	shiA yeeM b1981 JW1962
bact:SLT_ECOLI	Soluble lytic murein transglycosylase (EC 4.2.2.n1) (Exomuramidase) (Peptidoglycan lytic exotransglycosylase) (Slt70)	uniprot:P0AGC3	slt sltY b4392 JW4355
bact:SODC_ECOLI	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Bacteriocuprein)	uniprot:P0AGD1	sodC b1646 JW1638
bact:SODF_ECOLI	Superoxide dismutase [Fe] (EC 1.15.1.1)	uniprot:P0AGD3	sodB b1656 JW1648
bact:SODM_ECOLI	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	uniprot:P00448	sodA b3908 JW3879
bact:SOTB_ECOLI	Sugar efflux transporter	uniprot:P31122	sotB ydeA b1528 JW1521
bact:SPEA_ECOLI	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	uniprot:P21170	speA b2938 JW2905
bact:SPEB_ECOLI	Agmatinase (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	uniprot:P60651	speB b2937 JW2904
bact:SPED_ECOLI	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	uniprot:P0A7F6	speD b0120 JW0116
bact:SPEE_ECOLI	Polyamine aminopropyltransferase (Cadaverine aminopropyltransferase) (EC 2.5.1.-) (Putrescine aminopropyltransferase) (PAPT) (Spermidine aminopropyltransferase) (EC 2.5.1.79) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16) (Spermine synthase) (EC 2.5.1.22) (Thermospermine synthase)	uniprot:P09158	speE b0121 JW0117
bact:SPOT_ECOLI	Bifunctional (p)ppGpp synthase/hydrolase SpoT [Includes: GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (Stringent response-like protein) (ppGpp synthase II); Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)]	uniprot:P0AG24	spoT b3650 JW3625
bact:SQUU_ECOLI	3-sulfolactaldehyde reductase (SLA reductase) (EC 1.1.1.373)	uniprot:P0A9V8	yihU b3882 JW3853
bact:SRLD_ECOLI	Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140) (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase)	uniprot:P05707	srlD gutD b2705 JW2674
bact:SSTT_ECOLI	Serine/threonine transporter SstT (Na(+)/serine-threonine symporter)	uniprot:P0AGE4	sstT ygjU b3089 JW3060
bact:SSUA_ECOLI	Putative aliphatic sulfonates-binding protein	uniprot:P75853	ssuA ycbO b0936 JW0919
bact:SSUB_ECOLI	Aliphatic sulfonates import ATP-binding protein SsuB (EC 3.6.3.-)	uniprot:P0AAI1	ssuB ycbE b0933 JW0916
bact:SSUC_ECOLI	Putative aliphatic sulfonates transport permease protein SsuC	uniprot:P75851	ssuC ycbM b0934 JW5121
bact:SSUD_ECOLI	Alkanesulfonate monooxygenase (EC 1.14.14.5) (FMNH2-dependent aliphatic sulfonate monooxygenase) (Sulfate starvation-induced protein 6) (SSI6)	uniprot:P80645	ssuD ycbN b0935 JW0918
bact:SSUE_ECOLI	FMN reductase (NADPH) (EC 1.5.1.38) (FMN reductase) (Sulfate starvation-induced protein 4) (SSI4)	uniprot:P80644	ssuE ycbP b0937 JW0920
bact:STHA_ECOLI	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	uniprot:P27306	sthA sth udhA b3962 JW5551
bact:SUBI_ECOLI	Sulfate-binding protein (Sulfate starvation-induced protein 2) (SSI2)	uniprot:P0AG78	sbp b3917 JW3888
bact:SUCC_ECOLI	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	uniprot:P0A836	sucC b0728 JW0717
bact:SUCD_ECOLI	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	uniprot:P0AGE9	sucD b0729 JW0718
bact:SUFA_ECOLI	Protein SufA	uniprot:P77667	sufA ydiC b1684 JW1674
bact:SUFB_ECOLI	FeS cluster assembly protein SufB	uniprot:P77522	sufB ynhE b1683 JW5273
bact:SUFC_ECOLI	Probable ATP-dependent transporter SufC	uniprot:P77499	sufC ynhD b1682 JW1672
bact:SUFD_ECOLI	FeS cluster assembly protein SufD	uniprot:P77689	sufD ynhC b1681 JW1671
bact:SUFE_ECOLI	Cysteine desulfuration protein SufE	uniprot:P76194	sufE ynhA b1679 JW1669
bact:SUFS_ECOLI	Cysteine desulfurase (EC 2.8.1.7) (Selenocysteine beta-lyase) (SCL) (Selenocysteine lyase) (EC 4.4.1.16) (Selenocysteine reductase)	uniprot:P77444	sufS csdB ynhB b1680 JW1670
bact:SUHB_ECOLI	Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	uniprot:P0ADG4	suhB ssyA b2533 JW2517
bact:SUPH_ECOLI	Sugar phosphatase YbiV (EC 3.1.3.23)	uniprot:P75792	ybiV supH b0822 JW0806
bact:SURE_ECOLI	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase) (Stationary-phase survival protein SurE)	uniprot:P0A840	surE ygbC b2744 JW2714
